140	12	18
141	12	21
139	13	7
140	13	30
138	14	11
139	14	24
137	15	56
138	15	18
135	16	18
136	16	33
133	17	13
134	17	24
237	46	27
237	47	107
237	48	58
238	48	6
239	48	23
231	49	39
237	49	31
238	49	76
239	49	35
228	50	20
230	50	24
231	50	40
228	51	53
229	51	88
230	51	24
229	52	6
228	53	31
228	54	32
228	55	20
228	56	44
46	61	24
47	61	85
218	67	51
218	68	42
219	68	85
99	84	35
100	84	48
99	85	36
100	85	28
255	104	31
255	105	41
254	106	28
255	106	11
253	107	25
254	107	33
253	108	12
216	125	28
217	125	20
215	126	12
216	126	42
215	127	43
223	127	2
199	128	41
200	128	53
201	128	21
223	128	42
222	129	13
223	129	34
223	130	36
157	134	35
158	134	52
158	135	11
168	146	42
169	146	60
39	163	25
34	164	41
35	164	42
36	164	28
37	164	35
38	164	29
39	164	14
0	165	61
1	165	33
34	165	33
34	166	11
123	166	9
124	166	41
123	167	29
124	167	25
238	167	29
238	168	44
238	169	35
237	170	29
238	170	23
237	171	89
238	171	38
41	183	54
49	183	71
40	184	25
41	184	26
49	184	24
40	185	54
219	192	33
220	192	32
221	192	34
222	192	27
223	192	22
224	192	25
225	192	11
218	193	30
217	194	26
218	194	12
216	195	35
217	195	32
215	196	58
213	197	7
214	197	42
211	198	19
212	198	45
213	198	36
210	199	23
211	199	22
210	200	48
211	200	15
210	201	55
210	202	18
211	202	48
212	202	25
212	203	46
213	203	82
214	203	4
213	204	30
142	212	11
143	212	50
143	213	29
208	213	24
209	213	8
208	214	49
207	215	34
208	215	25
118	218	21
117	219	25
116	220	21
117	220	20
115	221	119
116	221	43
114	227	17
114	228	33
114	229	29
90	230	29
114	230	43
89	231	7
90	231	99
91	231	24
114	231	16
116	239	26
117	239	23
116	240	32
117	240	79
118	240	8
14	243	34
15	243	60
14	244	23
15	244	26
15	245	32
15	246	25
16	247	30
17	248	39
18	249	34
21	249	35
19	250	26
21	250	44
20	251	25
21	251	47
